FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Precious Achiuwa,Raptors,F,22.54,69,23.5,121,0.587,426,0.467,137,0.358,0.484,0.5,8.9,6.7,1.1,0.49,0.55,1.1,6.9,105.7,103.5,77
Steven Adams,Grizzlies,C,28.71,73,26.4,193,0.554,375,0.549,1,0,0.548,0.563,7.1,10,3.3,0.88,0.79,1.49,9.3,125.2,103.7,83
Bam Adebayo,Heat,C-F,24.71,54,32.6,321,0.748,699,0.559,6,0,0.555,0.604,18.9,10.2,3.4,1.43,0.8,2.7,10.7,116,97.7,87
Santi Aldama,Grizzlies,F-C,21.23,30,10.6,24,0.583,68,0.574,41,0.098,0.413,0.435,3.5,2.4,0.5,0.1,0.33,0.37,6.1,99.3,104,70
LaMarcus Aldridge,Nets,C-F,36.71,45,22.8,102,0.873,410,0.58,45,0.311,0.569,0.607,13.5,5.6,0.9,0.31,1.02,0.93,7.2,120.2,109.1,79
Nickeil Alexander-Walker,Pelicans,G,23.59,50,26.3,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,2.8,0.82,0.38,1.7,7.5,96.9,109.8,73
Nickeil Alexander-Walker,Jazz,G,23.59,13,9.9,11,0.909,14,0.357,27,0.259,0.378,0.447,3.2,1.5,1,0.31,0.31,0.62,6.8,93.7,103,73
Grayson Allen,Bucks,G,26.49,65,27.4,70,0.857,177,0.525,386,0.409,0.586,0.606,11.1,3.4,1.5,0.71,0.25,0.66,5.6,121,110.5,76
Jarrett Allen,Cavs,C,23.95,56,32.3,233,0.708,535,0.688,10,0.1,0.678,0.698,16.1,10.7,1.6,0.77,1.34,1.68,8.1,132.7,104.3,86
Jose Alvarado,Pelicans,G,23.98,50,15,45,0.711,163,0.528,101,0.307,0.502,0.523,5.9,1.8,2.7,1.26,0.14,0.7,8.2,114.3,103.6,76
Justin Anderson,Cavs,F-G,28.37,3,15.5,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,2,0.33,0,0.67,6.7,126.3,103.9,72
Justin Anderson,Pacers,F-G,28.37,12,22,15,0.8,33,0.576,52,0.25,0.453,0.486,7.4,3.3,2.1,0.58,0.42,0.5,6.8,108.1,112.5,72
Kyle Anderson,Grizzlies,F-G,28.54,65,21.5,97,0.629,339,0.475,101,0.317,0.475,0.496,7.4,5.4,2.6,1.12,0.63,1.02,8.7,108.3,103,79
Giannis Antetokounmpo,Bucks,F,27.33,64,33,738,0.721,962,0.616,233,0.296,0.583,0.633,30.1,11.6,5.8,1.06,1.41,3.31,15.3,123.8,100.4,97
Thanasis Antetokounmpo,Bucks,F,29.71,45,9.4,36,0.583,98,0.571,11,0.091,0.528,0.545,3,2.1,0.4,0.33,0.24,0.47,5.8,111.8,98.5,72
Carmelo Anthony,Lakers,F,37.85,68,26,157,0.828,322,0.525,391,0.376,0.546,0.581,13.4,4.1,1,0.66,0.75,0.85,5.8,114.5,108.2,79
Cole Anthony,Magic,G,21.89,65,31.7,253,0.854,521,0.432,391,0.338,0.464,0.519,16.3,5.4,5.7,0.71,0.26,2.62,10,103.1,107.4,78
OG Anunoby,Raptors,F,24.72,47,36.2,116,0.75,376,0.508,312,0.369,0.528,0.551,17.3,5.4,2.6,1.49,0.53,1.64,6.9,112.6,106.5,81
Ryan Arcidiacono,Knicks,G,28.03,8,5,0,0,2,0.5,4,0.75,0.917,0.917,1.4,0.5,0.1,0,0,0.13,3.3,146.7,117.7,69
Trevor Ariza,Lakers,F,36.76,24,19.3,18,0.556,25,0.52,74,0.27,0.434,0.449,4,3.4,1.1,0.5,0.25,0.46,5.1,97.3,112.7,72
D.J. Augustin,Rockets,G,34.4,34,15,38,0.868,40,0.4,96,0.406,0.548,0.596,5.4,1.2,2.2,0.29,0,1.32,6.5,107,119.5,73
D.J. Augustin,Lakers,G,34.4,17,17.3,1,1,15,0.6,56,0.5,0.718,0.721,6.1,1.4,1.4,0.29,0,0.47,5.3,134.1,114.6,73
Deni Avdija,Wizards,F,21.25,78,23.8,132,0.765,294,0.517,236,0.326,0.505,0.541,8.2,5.1,1.9,0.72,0.54,0.99,7.2,107.4,105.5,78
Deandre Ayton,Suns,C,23.7,56,29.5,140,0.743,648,0.644,17,0.353,0.641,0.658,17.1,10.2,1.4,0.7,0.66,1.59,8.5,124.3,99.8,86
Udoka Azubuike,Jazz,C-F,22.55,17,11.5,11,0.545,49,0.755,0,0,0.755,0.743,4.7,4.2,0,0.06,0.65,0.71,0,125,98.1,73
Marvin Bagley III,Kings,F,23.06,30,21.9,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,0.6,0.3,0.37,0.7,6.3,111,109,78
Marvin Bagley III,Pistons,F,23.06,18,27.2,54,0.593,165,0.624,35,0.229,0.575,0.585,14.6,6.8,1.1,0.72,0.39,1,7,115.7,107.3,78
LaMelo Ball,Hornets,G,20.62,71,32.3,236,0.869,658,0.462,530,0.379,0.51,0.548,19.9,6.7,7.5,1.58,0.42,3.17,12.4,110.8,105.3,86
Lonzo Ball,Bulls,G,24.44,35,34.6,28,0.75,123,0.423,260,0.423,0.567,0.575,13,5.4,5.1,1.83,0.89,2.34,8.2,109.8,107.8,82
Mo Bamba,Magic,C,23.9,68,25.9,66,0.803,329,0.559,262,0.37,0.558,0.574,10.5,8.1,1.2,0.56,1.63,1.12,7.2,112.6,103.1,80
Desmond Bane,Grizzlies,G,23.78,73,30,147,0.898,553,0.488,509,0.43,0.564,0.59,18.2,4.4,2.8,1.15,0.4,1.45,8.1,118.5,104.5,84
Dalano Banton,Raptors,F,22.41,63,11,42,0.595,151,0.464,51,0.255,0.443,0.463,3.2,2,1.6,0.41,0.16,0.84,7.9,97.8,104,72
Harrison Barnes,Kings,F,29.84,74,34,407,0.828,466,0.524,352,0.401,0.557,0.626,16.9,5.7,2.5,0.72,0.19,1.61,7.3,121.8,115.3,80
Scottie Barnes,Raptors,F,20.67,70,35.5,206,0.738,706,0.54,183,0.301,0.521,0.551,15.4,7.5,3.5,1.11,0.79,1.86,8.3,115.4,106.5,72
RJ Barrett,Knicks,F-G,21.8,68,34.7,390,0.721,764,0.442,393,0.346,0.468,0.514,20.1,5.9,2.9,0.63,0.24,2.18,8.1,103.7,108.6,85
Will Barton,Nuggets,G,31.24,69,32,123,0.797,457,0.508,416,0.365,0.527,0.549,14.8,4.8,3.9,0.78,0.45,1.8,8.1,107.7,110.7,78
Charles Bassey,76ers,C-F,21.43,23,7.3,12,0.75,43,0.698,4,0,0.638,0.66,3,2.7,0.3,0.22,0.74,0.35,7.4,131.3,90.1,73
Keita Bates-Diop,Spurs,F,26.2,55,16,56,0.732,182,0.56,51,0.333,0.547,0.574,5.4,3.9,0.7,0.45,0.25,0.71,6.1,111.8,108.4,
Nicolas Batum,Clippers,G-F,33.3,57,24.8,36,0.667,114,0.605,266,0.398,0.6,0.606,8.4,4.3,1.7,0.98,0.74,0.67,6.4,118.2,107.4,76
Kent Bazemore,Lakers,G-F,32.76,38,14,17,0.765,58,0.276,79,0.367,0.434,0.457,3.5,1.8,0.9,0.66,0.21,0.55,5.1,94,103.7,72
Darius Bazley,Thunder,F-G,21.81,69,27.9,170,0.688,380,0.511,269,0.297,0.484,0.515,10.8,6.3,1.4,0.84,1.01,1.3,6.5,101,110.6,77
Bradley Beal,Wizards,G,28.77,40,36,203,0.833,561,0.508,210,0.3,0.492,0.539,23.2,4.7,6.6,0.9,0.38,3.38,10,105.7,111.7,
Malik Beasley,Timberwolves,G,25.35,76,25,58,0.81,207,0.435,612,0.377,0.533,0.545,12.1,2.9,1.5,0.54,0.16,0.57,6,111.3,113.4,
DeAndre' Bembry,Nets,G-F,27.75,48,19.8,35,0.6,177,0.599,36,0.417,0.603,0.609,5.8,3.2,1.3,0.98,0.52,0.63,5.8,120,104.6,74
DeAndre' Bembry,Bucks,G-F,27.75,8,9.6,0,0,8,0.375,0,0,0.375,0.375,0.8,1.4,0.8,0.25,0,0.13,4,116.4,104.1,74
Davis Bertans,Wizards,F,29.39,34,14.7,30,0.933,27,0.519,144,0.319,0.485,0.527,5.7,1.8,0.5,0.32,0.18,0.41,4.7,103.4,106.8,
Davis Bertans,Mavericks,F,29.39,19,13.6,10,0.8,15,0.467,74,0.324,0.483,0.503,4.9,2.3,0.4,0.21,0.26,0.26,4.9,101.7,101.4,
Patrick Beverley,Timberwolves,G,33.73,56,25.6,127,0.724,189,0.481,236,0.347,0.504,0.541,9.3,4.2,4.6,1.18,0.89,1.29,8.8,118.5,103.4,
Saddiq Bey,Pistons,F,22.99,79,33.2,244,0.824,508,0.457,591,0.352,0.495,0.534,16.3,5.5,2.8,0.91,0.2,1.22,7.6,111.2,113.3,
Khem Birch,Raptors,C,29.51,51,17.8,70,0.743,171,0.515,13,0,0.478,0.531,4.5,4.3,1,0.53,0.45,0.49,6,124.5,103.2,73
Goga Bitadze,Pacers,C-F,22.71,50,14.6,94,0.681,172,0.628,80,0.288,0.565,0.595,7,3.5,1.1,0.42,0.84,0.92,8.2,118.3,103.5,
Bismack Biyombo,Suns,C,29.6,33,13.5,66,0.515,126,0.587,0,0,0.587,0.587,5.5,4.4,0.6,0.33,0.7,0.73,7.2,119.2,94.7,
Nemanja Bjelica,Warriors,F,33.9,68,16,76,0.711,183,0.541,145,0.359,0.54,0.564,6,4.1,2.2,0.56,0.38,1.21,9.5,109.6,97,75
Eric Bledsoe,Clippers,G,32.32,54,25.2,117,0.761,305,0.479,163,0.313,0.475,0.514,9.9,3.4,4.2,1.28,0.35,2.15,8.3,100.4,107.5,76
Keljin Blevins,Trail Blazers,G,26.36,27,10.8,11,0.545,33,0.364,60,0.3,0.419,0.429,3.1,1.4,0.7,0.33,0.04,0.52,5.4,91.2,113.6,
Bojan Bogdanovic,Jazz,F,32.96,66,30.8,240,0.858,440,0.525,447,0.387,0.553,0.598,18,4.2,1.8,0.44,0.02,1.68,6.7,116.4,110.4,
Bogdan Bogdanovic,Hawks,G,29.63,59,29.2,106,0.858,311,0.531,421,0.359,0.535,0.561,14.8,3.8,3,1.08,0.22,1.17,7.6,113.4,110.3,
Bol Bol,Nuggets,C-F,22.38,13,6.2,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,0.4,0.08,0.15,0.31,7.4,110.2,109.7,
Leandro Bolmaro,Timberwolves,F,21.56,34,6.6,11,0.818,28,0.321,17,0.235,0.333,0.391,1.1,1.2,0.5,0.18,0,0.38,5.3,90.2,105.4,
Isaac Bonga,Raptors,G,22.4,15,4.6,8,0.625,9,0.222,4,0.25,0.269,0.363,0.8,0.5,0.3,0.53,0.13,0.13,4.3,92.5,96.1,70
Devin Booker,Suns,G,25.43,66,34.5,356,0.865,909,0.508,464,0.377,0.528,0.574,26.6,5,4.9,1.15,0.39,2.42,10.1,113,103.8,
Brandon Boston Jr.,Clippers,G,20.35,50,14.4,68,0.838,201,0.413,109,0.312,0.432,0.478,6.5,2.1,0.9,0.5,0.24,0.6,6.4,97.3,108.6,72
Chris Boucher,Raptors,F-C,29.23,76,20.9,178,0.77,331,0.577,212,0.288,0.52,0.565,9.2,6.2,0.3,0.62,0.93,0.55,4.9,122.2,101.4,78
James Bouknight,Hornets,G,21.54,28,10.6,31,0.871,87,0.356,49,0.347,0.415,0.468,5,1.7,0.8,0.25,0.04,0.46,7.1,102.1,109.5,
Avery Bradley,Lakers,G,31.35,61,22.8,18,0.889,139,0.468,207,0.391,0.539,0.55,6.4,2.2,0.8,0.87,0.15,0.62,3.9,106.3,109.9,72
Tony Bradley,Bulls,C-F,24.24,52,10.1,25,0.68,111,0.577,0,0,0.577,0.594,2.8,3.4,0.5,0.21,0.62,0.58,6.7,118,102.9,
Ignas Brazdeikis,Magic,F,23.24,39,11.4,21,0.667,78,0.513,69,0.333,0.507,0.522,4.2,1.4,0.8,0.23,0.05,0.36,5.9,106.4,108.4,
Miles Bridges,Hornets,F,24.04,76,35.8,321,0.798,716,0.591,444,0.329,0.553,0.592,20.3,7.1,3.8,0.95,0.86,1.93,9.1,116.4,109.7,
Mikal Bridges,Suns,F,25.59,78,35.5,151,0.828,525,0.627,306,0.373,0.602,0.627,14.4,4.3,2.3,1.19,0.46,0.83,5.9,125.3,107.3,
Oshae Brissett,Pacers,F-G,23.79,64,23,149,0.698,251,0.462,216,0.347,0.489,0.527,8.8,5.3,1,0.64,0.45,0.81,6.3,111.1,111.2,
Malcolm Brogdon,Pacers,G,29.31,36,33.5,167,0.856,357,0.518,186,0.312,0.501,0.557,19.1,5.1,5.9,0.86,0.39,2.14,9.9,115.8,113.9,
Armoni Brooks,Rockets,G,23.83,41,16.8,19,0.842,38,0.605,213,0.3,0.474,0.49,6.2,2,1.2,0.51,0.2,0.56,5.9,100.5,112.1,
Armoni Brooks,Raptors,G,23.83,11,11,0,0,2,0.5,29,0.31,0.468,0.468,2.6,1.5,0.9,0.64,0.27,0.27,5.5,111.3,106.8,73
Dillon Brooks,Grizzlies,G-F,26.2,30,27.8,104,0.846,353,0.479,142,0.303,0.472,0.513,18.5,3.3,2.7,1.17,0.23,1.6,7.9,107.3,101.8,81
Chaundee Brown Jr.,Lakers,G,23.33,2,10.3,0,0,4,0.25,3,0,0.143,0.143,1,1,0,0,0,0.5,0,27.3,120.7,67
Charlie Brown Jr.,Mavericks,G,24.17,3,5.1,0,0,2,0.5,3,0,0.2,0.2,0.7,0.3,0.3,0.67,0.33,0,3.1,55.6,93.6,69
Chaundee Brown Jr.,Hawks,G,23.33,3,27.7,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,1.3,0.67,0,0,5.6,117.6,108.6,67
Charlie Brown Jr.,76ers,G,24.17,19,8.5,10,0.9,25,0.32,9,0.111,0.279,0.365,1.5,1.6,0.3,0.42,0.16,0.26,4.2,93.2,103.2,69
Greg Brown III,Trail Blazers,F,20.59,44,12.5,61,0.656,116,0.474,50,0.32,0.476,0.513,4.5,2.7,0.6,0.52,0.45,0.64,6.2,104.3,103,
Troy Brown Jr.,Bulls,G-F,22.69,62,15.9,25,0.76,115,0.487,121,0.347,0.504,0.52,4.1,3,0.9,0.48,0.08,0.37,5.6,110.2,109.6,
Bruce Brown,Nets,G-F,25.63,68,24,115,0.748,383,0.53,84,0.381,0.537,0.568,8.6,4.7,1.9,1.07,0.62,0.72,7.1,120.6,105.5,77
Jaylen Brown,Celtics,G-F,25.44,63,33.7,305,0.767,715,0.545,445,0.36,0.543,0.577,23.7,6.1,3.4,1.02,0.25,2.7,9.4,109.4,102.5,
Moses Brown,Mavericks,C,22.48,26,6.5,43,0.628,50,0.54,0,0,0.54,0.588,3.1,2.3,0,0.12,0.35,0.54,0,107.3,91,
Moses Brown,Cavs,C,22.48,11,12.3,25,0.56,45,0.622,0,0,0.622,0.625,6.4,5.5,0,0.27,0.64,0.36,0,127.4,92.2,
Sterling Brown,Mavericks,G-F,27.15,48,12.8,15,0.933,60,0.483,89,0.303,0.466,0.492,3.2,3,0.7,0.27,0.15,0.48,5.9,101.7,102,
Jalen Brunson,Mavericks,G,25.59,76,32.1,201,0.841,734,0.544,240,0.371,0.547,0.581,16.2,3.8,4.8,0.86,0.04,1.62,8.3,117.5,107.2,
Thomas Bryant,Wizards,C-F,24.68,25,16.4,40,0.875,102,0.627,40,0.3,0.577,0.623,8,3.8,0.9,0.24,0.72,0.72,7.3,121.7,106.6,
Reggie Bullock,Mavericks,G-F,31.05,65,28,47,0.83,105,0.562,378,0.36,0.545,0.561,8.7,3.6,1.2,0.62,0.22,0.55,4.8,112.4,107.7,
Trey Burke,Mavericks,G,29.39,39,10.7,23,0.87,125,0.448,80,0.313,0.456,0.481,5.3,0.8,1.3,0.28,0,0.67,6.6,96.9,105.1,
Alec Burks,Knicks,G,30.71,78,28.3,252,0.825,325,0.378,373,0.402,0.499,0.559,11.6,4.9,2.9,1.05,0.32,1.04,7.7,117.6,103.4,
Jared Butler,Jazz,G,21.61,39,7.8,12,0.583,56,0.518,75,0.347,0.519,0.525,3.7,0.9,1.3,0.33,0.18,0.79,8.4,100.9,99.1,
Jimmy Butler,Heat,F,32.55,55,33.8,435,0.871,695,0.517,110,0.227,0.493,0.588,21.3,6,5.5,1.65,0.49,2.07,10.5,123.9,106.6,
Devontae Cacok,Spurs,F,25.49,12,7.8,7,0.571,27,0.704,0,0,0.704,0.698,3.5,3.1,0.4,0.58,0.58,0.17,8.4,139.3,94.5,
Kentavious Caldwell-Pope,Wizards,G,29.12,75,30.3,154,0.89,410,0.473,400,0.393,0.53,0.567,13.3,3.4,1.9,1.09,0.35,1.23,5.8,109.4,112,
Facundo Campazzo,Nuggets,G,31.03,63,18.6,78,0.769,102,0.48,189,0.302,0.462,0.506,5.2,1.9,3.4,0.97,0.37,1.05,6.9,109.3,104.1,
Vlatko Cancar,Nuggets,F,24.98,14,10.9,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,0.9,0.14,0.21,0.57,6.7,123.9,108,
Devin Cannady,Magic,G,25.87,2,29.7,2,0.5,3,0,13,0.308,0.375,0.385,6.5,1,2.5,1.5,1,2,3.4,76.1,113.2,
Clint Capela,Hawks,C,27.88,70,27.6,159,0.465,563,0.606,1,0,0.605,0.596,10.8,11.8,1.3,0.7,1.3,0.63,8,132.5,104.9,
Vernon Carey Jr.,Hornets,F-C,21.1,4,4.2,3,0.667,6,0.5,0,0,0.5,0.546,2,1.3,0,0.25,0,0.25,0,113.7,110.5,
Wendell Carter Jr.,Magic,C-F,22.97,62,29.9,207,0.691,470,0.615,214,0.327,0.576,0.601,15,10.4,2.8,0.58,0.69,1.89,10.2,115.4,103,
Jevon Carter,Nets,G,26.55,46,12,10,0.7,47,0.34,127,0.331,0.454,0.462,3.6,1.5,1,0.3,0.22,0.57,5.8,93.9,109.7,73
Jevon Carter,Bucks,G,26.55,16,18.2,8,1,29,0.552,36,0.611,0.754,0.773,6.6,2.1,2.6,0.38,0.19,0.44,7.3,154.2,110.8,73
Alex Caruso,Bulls,G,28.1,40,28.1,73,0.795,129,0.465,121,0.347,0.492,0.539,7.6,3.6,3.9,1.78,0.38,1.43,6.8,111.3,105.6,
Willie Cauley-Stein,Mavericks,C,28.63,18,9.8,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,0.5,0.33,0.17,0.39,5.1,102.9,101.6,
Justin Champagnie,Raptors,G-F,20.77,35,7.8,9,1,39,0.538,26,0.346,0.531,0.566,2.2,2,0.3,0.2,0.11,0.2,5.6,129,102.5,69
Zylan Cheatham,Jazz,F,26.38,1,5.2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,120.2,
Chris Chiozza,Warriors,G,26.37,34,10.9,3,0.667,28,0.25,53,0.321,0.401,0.407,2,1.1,1.9,0.38,0,0.94,5.9,88.5,104,72
Marquese Chriss,Mavericks,F,24.76,32,9.8,25,0.6,98,0.51,24,0.292,0.496,0.511,4.3,3.1,0.5,0.38,0.38,0.53,7.7,104.8,88.5,
Josh Christopher,Rockets,G,20.32,71,17.7,105,0.771,294,0.537,177,0.299,0.504,0.538,7.8,2.4,2,0.89,0.15,1.51,7.6,101.6,112.8,
Brandon Clarke,Grizzlies,F,25.54,61,19.6,128,0.656,403,0.66,22,0.227,0.644,0.655,10.3,5.5,1.4,0.57,1.11,0.56,8.8,136.6,102.3,78
Gary Clark,Pelicans,F,27.38,35,9.5,8,0.75,13,0.231,62,0.387,0.52,0.535,2.4,2.3,0.4,0.31,0.2,0.2,5.5,115.5,108.2,72
Jordan Clarkson,Jazz,G,29.82,75,27.1,165,0.824,498,0.534,568,0.317,0.503,0.53,16.1,3.4,2.3,0.83,0.21,1.61,7.4,107.3,107.8,
Nic Claxton,Nets,F-C,22.97,43,20.6,88,0.58,241,0.672,0,0,0.672,0.67,8.7,5.5,0.9,0.53,1.14,0.79,6.8,131.1,104.5,78
Amir Coffey,Clippers,G-F,24.8,66,22.9,113,0.858,200,0.545,242,0.368,0.549,0.592,8.8,2.8,1.8,0.58,0.21,0.64,6.2,119.1,109.8,75
John Collins,Hawks,F-C,24.53,54,30.8,169,0.793,468,0.588,176,0.364,0.576,0.61,16.2,7.8,1.8,0.61,1.04,1.11,7.9,122.8,106.1,
Zach Collins,Spurs,F-C,24.37,24,17.7,55,0.782,92,0.533,37,0.324,0.519,0.578,7.4,5.4,2.1,0.42,0.71,1.67,9.9,110.6,100.3,
Mike Conley,Jazz,G,34.48,69,28.5,154,0.812,356,0.466,398,0.41,0.544,0.576,13.7,3,5.3,1.32,0.29,1.67,8.4,121,107.5,
Pat Connaughton,Bucks,G,29.24,62,26.3,52,0.827,121,0.653,358,0.397,0.61,0.625,10.1,4.2,1.3,0.89,0.23,0.53,5.8,125.3,109.5,78
Tyler Cook,Bulls,F,24.53,19,10.3,31,0.645,36,0.611,0,0,0.611,0.645,3.4,2.7,0.2,0.21,0.21,0.37,4.8,128,101.5,
DeMarcus Cousins,Bucks,C,31.64,17,16.9,38,0.816,70,0.6,48,0.271,0.521,0.572,9.1,5.8,1.1,0.94,0.47,0.94,9.2,116,92.9,78
DeMarcus Cousins,Nuggets,C,31.64,28,14.1,77,0.727,123,0.537,68,0.324,0.518,0.565,9.1,5.6,1.7,0.64,0.39,2.29,12.6,100.6,86.7,78
Robert Covington,Trail Blazers,F,31.31,48,29.8,36,0.833,106,0.462,230,0.343,0.499,0.519,7.6,5.7,1.4,1.54,1.31,1.21,5.3,100.7,108.3,75
Robert Covington,Clippers,F,31.31,20,22.7,25,0.88,48,0.625,95,0.453,0.661,0.685,10.6,4.9,1.1,1.3,1.4,0.75,6.8,128.1,99.1,75
Torrey Craig,Pacers,F,31.29,51,20.3,35,0.771,143,0.573,138,0.333,0.537,0.555,6.5,3.8,1.1,0.47,0.37,0.76,5.9,112.7,110.2,
