FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
T.J. McConnell,Pacers,G,30.03,24,24.2,15,0.8,156,0.538,25,0.28,0.522,0.536,8.4,3.3,4.8,1.04,0.38,1.17,8.4,117.3,111.7,
Jalen McDaniels,Hornets,F-C,24.17,51,16.1,68,0.721,130,0.546,98,0.357,0.542,0.574,5.8,3,1,0.43,0.35,0.69,6.4,112.2,106.1,
Jaden McDaniels,Timberwolves,F,21.51,67,26.1,70,0.8,294,0.582,246,0.313,0.531,0.551,9.4,4.3,1.1,0.76,0.78,1.09,5.4,107.9,103.4,
Doug McDermott,Spurs,F,30.25,51,24,51,0.784,209,0.512,256,0.422,0.578,0.593,11.3,2.3,1.3,0.27,0.12,0.84,5.4,112.4,112.4,
JaVale McGee,Suns,C-F,34.21,70,15.7,137,0.715,423,0.643,8,0.25,0.638,0.66,9.3,6.6,0.6,0.3,1.1,1.27,8.5,121.6,90.9,
Cameron McGriff,Trail Blazers,F,24.51,3,15.3,2,1,8,0.375,6,0.333,0.429,0.47,4.7,5,1,0,0.33,0,7.5,125.1,104.1,
Rodney McGruder,Pistons,G,30.68,49,14.4,20,0.7,70,0.471,138,0.391,0.548,0.558,4.9,2.1,0.9,0.39,0.12,0.45,5.8,112.8,110.8,
Alfonzo McKinnie,Bulls,F,29.54,17,12.1,8,0.25,34,0.441,27,0.333,0.467,0.457,3.5,1.9,0.3,0.12,0.18,0.41,4.2,95.5,105.2,
Jordan McLaughlin,Timberwolves,G,25.98,59,14.2,37,0.73,111,0.523,80,0.313,0.5,0.526,3.7,1.5,2.9,0.92,0.14,0.58,7.1,121.5,110.3,
Ben McLemore,Trail Blazers,G,29.14,60,19.6,79,0.835,113,0.513,391,0.358,0.532,0.559,10,1.6,0.9,0.53,0.17,0.82,5,107.2,114,
De'Anthony Melton,Grizzlies,G,23.85,69,22.6,108,0.741,307,0.44,349,0.375,0.505,0.528,10.8,4.5,2.6,1.48,0.51,1.52,8.9,107.1,102.7,80
Sam Merrill,Grizzlies,G,25.89,6,9.6,4,0.5,1,1,23,0.304,0.479,0.485,4.2,1.2,0.7,0,0,0.33,6.3,103.5,111,71
Chimezie Metu,Kings,F-C,25.04,57,21.1,87,0.782,249,0.554,179,0.302,0.512,0.543,8.9,5.5,1,0.79,0.53,1.02,6.9,103.6,107.7,
Khris Middleton,Bucks,F,30.64,63,32.5,290,0.89,564,0.489,409,0.374,0.52,0.577,20.1,5.4,5.4,1.1,0.27,2.9,10.3,112.6,106.6,86
Paul Millsap,Nets,F,37.15,24,11.3,17,0.706,58,0.448,27,0.222,0.412,0.443,3.4,3.7,1,0.21,0.46,0.46,8.2,105.9,95.5,73
Paul Millsap,76ers,F,37.15,9,11.7,7,0.714,22,0.5,8,0.25,0.467,0.499,3.7,2.8,0.6,0.56,0.22,0.89,6.3,100.5,93.8,73
Patty Mills,Nets,G,33.64,77,29.1,56,0.821,226,0.425,543,0.398,0.546,0.558,11.5,1.9,2.3,0.62,0.22,0.88,5.1,111.4,115.1,73
Shake Milton,76ers,G-F,25.52,51,21.3,66,0.818,244,0.475,122,0.303,0.469,0.502,7.8,2.6,2.5,0.47,0.31,0.84,7,105.9,106.4,73
Davion Mitchell,Kings,G,23.58,72,27.2,73,0.63,488,0.477,309,0.317,0.477,0.486,11.2,2.2,3.8,0.76,0.31,1.47,6.7,100.1,113.4,
Donovan Mitchell,Jazz,G,25.57,65,33.7,302,0.851,690,0.542,641,0.359,0.54,0.579,26.1,4.1,5.4,1.49,0.18,3.05,9.9,114.6,106.7,
Evan Mobley,Cavs,C,20.8,67,33.9,241,0.664,715,0.538,91,0.253,0.52,0.548,14.9,8.3,2.5,0.81,1.63,1.96,8,108.4,104.5,
Malik Monk,Lakers,G,24.16,72,28,104,0.779,352,0.568,412,0.391,0.578,0.595,13.4,3.3,2.8,0.83,0.36,1.51,7.1,112.6,111.7,78
Greg Monroe,Timberwolves,F-C,31.83,3,21,5,0.4,14,0.643,0,0,0.643,0.617,6.7,7,3.7,0.67,1.33,1.33,10.6,124.6,100.6,72
Greg Monroe,Wizards,F-C,31.83,2,8.8,0,0,8,0.5,0,0,0.5,0.5,4,5,0.5,0.5,0.5,1,9.8,114.5,102.4,72
Greg Monroe,Bucks,F-C,31.83,5,13.9,9,0.556,22,0.5,0,0,0.5,0.52,5.4,4.2,0.4,0.6,0.4,0.6,6,115.8,103.3,72
Greg Monroe,Jazz,F-C,31.83,2,10.8,7,0.571,3,0.667,0,0,0.667,0.658,4,3,1.5,0,0.5,0,9.7,168.9,92,
Moses Moody,Warriors,G,19.84,50,11.7,36,0.778,71,0.549,108,0.352,0.536,0.565,4.4,1.6,0.4,0.14,0.2,0.26,4.8,113.7,106.3,74
Xavier Moon,Clippers,G,27.25,8,13.1,3,0.667,28,0.464,11,0.364,0.487,0.496,5,1.4,2,0.63,0.25,0.38,7.4,109.8,108,67
Ja Morant,Grizzlies,G,22.65,56,33.3,408,0.762,909,0.536,253,0.34,0.53,0.575,27.6,5.7,6.7,1.18,0.38,3.43,12.2,115.3,108.8,93
Juwan Morgan,Raptors,F,24.97,1,27.4,0,0,1,1,2,0.5,0.833,0.833,5,4,1,0,0,0,4,184,106.4,70
Marcus Morris Sr.,Clippers,F,32.59,52,29.1,145,0.869,410,0.478,261,0.375,0.511,0.553,15.6,4.5,2.1,0.54,0.33,1.27,7.3,108.4,107.4,79
Jaylen Morris,Spurs,G,26.54,3,5.3,4,0.5,4,0,2,0,0,0.129,0.7,0.7,0.7,0,0,0.33,5.3,39.7,105.2,
Markieff Morris,Heat,F,32.59,17,17.6,9,0.889,75,0.547,39,0.333,0.531,0.547,7.6,2.6,1.4,0.35,0.06,1.18,6.9,104.5,101.8,
Monte Morris,Nuggets,G,26.77,73,29.9,84,0.869,450,0.547,305,0.4,0.568,0.588,12.8,3,4.5,0.75,0.19,1.04,7.5,120.7,113,79
Emmanuel Mudiay,Kings,G,26.08,2,5.5,4,0.75,2,0,0,0,0,0.399,1.5,0,2,0.5,0,0.5,0,100.3,109,
Mychal Mulder,Magic,G,27.81,15,13,2,1,21,0.333,46,0.283,0.396,0.405,3.7,1.4,0.2,0.27,0.07,0.53,3.1,76,111.6,
Trey Murphy III,Pelicans,F,21.79,58,13.5,42,0.857,78,0.423,167,0.365,0.508,0.541,4.9,2.3,0.6,0.34,0.12,0.22,5.6,118.7,108.7,75
Dejounte Murray,Spurs,G,25.54,67,34.8,241,0.788,938,0.504,288,0.33,0.502,0.533,21.2,8.4,9.3,2.03,0.34,2.66,13.6,113.3,106.6,
Mike Muscala,Thunder,F-C,30.76,43,13.8,57,0.842,85,0.506,163,0.429,0.597,0.63,8,3,0.5,0.42,0.6,0.33,6.6,124.3,103.8,76
Svi Mykhailiuk,Raptors,G-F,24.82,55,12.9,37,0.865,99,0.505,129,0.302,0.476,0.51,4.5,1.7,0.8,0.45,0.07,0.56,5.7,104.8,107.5,75
Abdel Nader,Suns,F,28.52,14,10.4,10,0.6,21,0.381,14,0.286,0.4,0.431,2.4,1.9,0.5,0.57,0.29,0.79,5.1,78.8,94.7,
Larry Nance Jr.,Trail Blazers,F-C,29.26,37,23.2,49,0.653,136,0.61,62,0.306,0.563,0.581,6.9,5.6,2,1.03,0.35,0.73,7.3,123.4,110.2,77
Larry Nance Jr.,Pelicans,F-C,29.26,5,20.5,2,1,21,0.571,4,0.75,0.66,0.676,7,4.8,0.8,0.2,1.2,0.8,5.8,126.1,106.9,77
RJ Nembhard Jr.,Cavs,G,23.04,13,4.6,4,0.75,15,0.4,2,0,0.353,0.4,1.2,0.5,0.9,0.08,0,0.15,7.1,106.9,112.4,
Aaron Nesmith,Celtics,G-F,22.47,49,11,24,0.792,66,0.606,105,0.267,0.48,0.504,3.7,1.7,0.4,0.39,0.08,0.53,4.9,97.2,97.7,
Raul Neto,Wizards,G,29.87,67,19.8,101,0.762,310,0.519,116,0.293,0.498,0.532,7.5,2,3.2,0.79,0.04,1.12,7.3,107.6,110.2,
Malik Newman,Cavs,G,25.12,1,7.7,2,1,4,0.75,1,0,0.6,0.68,8,1,1,0,0,1,10.4,117.9,114.7,
Georges Niang,76ers,F,28.8,74,23,59,0.881,176,0.511,376,0.399,0.571,0.59,9.2,2.7,1.4,0.41,0.16,0.78,5.7,112.3,104.2,73
Daishen Nix,Rockets,G,20.14,22,10.9,26,0.538,39,0.462,26,0.269,0.438,0.464,3.2,1.4,1.8,0.59,0,1.05,7.4,91.8,111.5,
Zeke Nnaji,Nuggets,F-C,21.23,40,16.8,62,0.613,101,0.574,76,0.487,0.641,0.649,6.6,3.6,0.4,0.4,0.33,0.55,5,126.4,103.6,
Nerlens Noel,Knicks,C-F,27.98,25,22.5,30,0.7,57,0.561,3,0,0.533,0.581,3.4,5.6,0.9,1.2,1.24,0.8,4.6,120.2,98.7,
Jaylen Nowell,Timberwolves,G,22.74,59,15.7,82,0.768,240,0.533,149,0.383,0.549,0.576,8.3,2,2.2,0.44,0.15,0.56,8.5,121,109.5,
Frank Ntilikina,Mavericks,G,23.69,56,12.1,25,0.96,112,0.446,109,0.349,0.484,0.513,4.3,1.4,1.2,0.48,0.13,0.55,6.4,104,103.3,
Jusuf Nurkic,Trail Blazers,C,27.61,56,28.2,268,0.69,544,0.563,56,0.268,0.548,0.586,15,11.1,2.8,1.11,0.61,2.55,11,112.7,102.7,
David Nwaba,Rockets,G-F,29.22,45,13.2,67,0.716,126,0.548,48,0.313,0.526,0.568,5.1,3.3,0.8,0.6,0.42,0.47,7.2,117.6,108.3,
Jordan Nwora,Bucks,F,23.57,59,19.2,32,0.813,218,0.472,217,0.35,0.499,0.512,7.8,3.5,0.9,0.41,0.27,0.93,6.1,100,108.1,72
Semi Ojeleye,Bucks,F,27.33,20,15.4,13,0.769,29,0.241,41,0.268,0.336,0.376,2.9,2.9,0.3,0.25,0.25,0.25,3.5,96.9,107.7,71
Semi Ojeleye,Clippers,F,27.33,10,9.8,16,0.813,20,0.4,9,0.444,0.483,0.569,4.1,1.6,0.4,0.2,0.1,0.4,5.6,111,110.7,71
Chuma Okeke,Magic,F,23.63,67,24.7,63,0.841,197,0.472,341,0.311,0.468,0.492,8.3,4.9,1.7,1.36,0.57,0.84,6.6,100.2,108.1,
Josh Okogie,Timberwolves,G,23.59,47,10.4,47,0.681,51,0.451,46,0.304,0.454,0.51,2.6,1.4,0.5,0.51,0.23,0.49,4.7,103.4,106.3,
Onyeka Okongwu,Hawks,F-C,21.31,44,20.7,108,0.722,211,0.692,0,0,0.692,0.716,8.4,5.9,1.1,0.61,1.32,0.91,7.3,141.1,100.7,
Isaac Okoro,Cavs,F-G,21.19,64,29.8,151,0.781,268,0.552,153,0.353,0.544,0.591,9,3.1,1.8,0.84,0.33,0.91,5,119.9,105.6,
KZ Okpala,Heat,F-G,22.93,21,11.6,11,0.727,43,0.488,26,0.346,0.5,0.521,3.7,2,0.7,0.19,0.33,0.24,6,113.2,102.1,
Victor Oladipo,Heat,G,29.92,7,19.7,8,0.625,26,0.462,25,0.4,0.529,0.541,8.4,1.9,3,0.43,0.14,1.71,7.4,102.2,105.7,
Cameron Oliver,Hawks,F,20,2,21.7,3,0.667,12,0.75,3,0.333,0.7,0.705,11.5,3,1.5,0.5,0.5,0,6.9,149.8,107,
Kelly Olynyk,Pistons,F-C,30.96,39,19,80,0.763,164,0.518,115,0.339,0.514,0.554,8.9,4.4,2.7,0.79,0.46,1.41,10,111,101.7,
Eugene Omoruyi,Mavericks,F,25.13,4,4.5,4,0.5,3,0.333,2,0.5,0.5,0.518,1.8,1.8,0.5,0,0,0,10.4,131.5,98,
Royce O'Neale,Jazz,F,28.83,74,31.4,52,0.808,134,0.619,295,0.393,0.599,0.615,7.5,4.9,2.5,1.14,0.43,0.97,5.7,124.1,105.9,
Cedi Osman,Cavs,F,26.99,63,22.1,127,0.661,204,0.549,346,0.353,0.536,0.556,10.7,2.2,2.1,0.81,0.16,1.03,6.6,109.8,104.3,
Daniel Oturu,Raptors,C,22.54,3,9.1,5,0.6,5,0.6,1,0,0.5,0.549,3,1.7,0,0,0.67,0,0,122.8,112.3,71
Kelly Oubre Jr.,Hornets,F-G,26.32,72,26.7,177,0.667,371,0.571,531,0.345,0.539,0.557,15.2,4,1.1,1.03,0.43,0.92,6.1,109.9,108.1,
Jaysean Paige,Pistons,G,27.68,1,6.6,0,0,1,0,2,0,0,0,0,1,1,0,0,1,0,15.2,85.2,
Trayvon Palmer,Pistons,G,27.39,1,16.8,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,107,
Kevin Pangos,Cavs,G,29.19,24,6.9,4,0.75,20,0.45,26,0.231,0.391,0.408,1.6,0.5,1.3,0.13,0,0.29,5.9,99.1,108.6,
Jabari Parker,Celtics,F,27.06,12,9.4,9,1,22,0.455,16,0.5,0.579,0.632,4.4,2.3,0.5,0.33,0.08,0.67,7.3,113.6,95.6,
Eric Paschall,Jazz,F,25.41,56,12.9,83,0.771,121,0.579,107,0.374,0.57,0.612,5.8,1.9,0.6,0.16,0.09,0.48,5.8,122.9,108.8,
Chris Paul,Suns,G,36.91,63,33,200,0.835,522,0.556,196,0.321,0.536,0.581,14.9,4.3,10.7,1.86,0.32,2.37,10.7,123.3,104.1,
Cameron Payne,Suns,G,27.66,56,22,89,0.843,365,0.452,202,0.337,0.471,0.502,10.9,3,4.8,0.68,0.3,1.75,9.8,104.1,102.3,
Gary Payton II,Warriors,G,29.34,68,17.4,56,0.589,210,0.752,118,0.364,0.678,0.678,7,3.4,0.9,1.35,0.31,0.57,6.4,129,96.9,78
Elfrid Payton,Suns,G,28.11,48,10.9,30,0.4,149,0.409,17,0.235,0.404,0.407,3,1.8,2,0.5,0.13,0.94,8.1,89.3,104.1,
Norvel Pelle,Jazz,C,29.16,3,6.3,0,0,5,0.6,0,0,0.6,0.6,2,2,0,0,0.33,0.67,0,101.5,109.9,
Reggie Perry,Trail Blazers,F-C,22.04,5,18.6,10,0.6,30,0.533,8,0.25,0.5,0.519,8.8,5.8,0.6,0.6,0.4,0.8,6.7,107,99.1,
Reggie Perry,Pacers,F-C,22.04,1,9.9,0,0,1,1,0,0,1,1,2,1,0,0,0,0,0,200,88.9,
Jamorko Pickett,Pistons,F,24.28,11,12.1,2,0.5,8,0.375,31,0.29,0.423,0.426,3.1,2.2,0.6,0,0.55,0.27,5.3,95.6,112.3,
Theo Pinson,Mavericks,G-F,26.41,16,7.5,4,1,7,0.429,25,0.24,0.375,0.415,1.8,1.2,0.8,0.25,0.13,0.13,6.4,99.8,103.7,
Mason Plumlee,Hornets,F-C,32.08,69,24.9,161,0.391,305,0.639,2,0,0.635,0.599,6.6,7.9,3.2,0.83,0.7,1.35,8.8,123.4,101.8,
Jakob Poeltl,Spurs,C,26.47,65,29,180,0.494,633,0.618,1,1,0.619,0.613,13.4,9.2,2.8,0.68,1.74,1.58,9.7,124.1,103.9,
Aleksej Pokusevski,Thunder,C,20.27,61,20.2,50,0.7,259,0.498,197,0.289,0.47,0.485,7.6,5.2,2.1,0.64,0.61,1.54,8.6,96.1,106.2,76
Jordan Poole,Warriors,G,22.79,73,30,249,0.92,456,0.557,552,0.368,0.554,0.602,18.4,3.4,3.8,0.81,0.29,2.41,8.3,112.7,103.2,81
Kevin Porter Jr.,Rockets,G-F,21.92,58,30.8,180,0.628,357,0.451,378,0.368,0.503,0.523,14.7,4.3,6.2,1.12,0.38,3.19,9.5,101.9,111.5,
Michael Porter Jr.,Nuggets,F,23.77,9,29.5,9,0.556,55,0.491,48,0.208,0.408,0.416,9.9,6.6,1.9,1.11,0.22,1.33,6.8,86.7,107.1,80
Otto Porter Jr.,Warriors,F,28.84,61,22,59,0.814,191,0.576,209,0.368,0.564,0.586,8.2,5.7,1.5,1.07,0.46,0.57,7.5,123,102.3,77
Bobby Portis,Bucks,F,27.15,69,28.3,113,0.752,509,0.532,327,0.394,0.556,0.572,14.7,9.1,1.2,0.75,0.74,1.29,7.7,115.5,103.5,81
Kristaps Porzingis,Mavericks,F-C,26.67,34,29.5,170,0.865,335,0.537,173,0.283,0.499,0.561,19.2,7.7,2,0.74,1.74,1.56,9,113.5,101.4,
Kristaps Porzingis,Wizards,F-C,26.67,15,28,109,0.872,160,0.513,66,0.333,0.509,0.593,21.7,8.3,3,0.73,1.47,1.67,11.6,121.1,104.2,
Micah Potter,Pistons,F,24,3,10.3,2,1,9,0.556,2,0,0.455,0.505,4,3,0,0.33,0.33,0.33,0,109.1,102.5,
Dwight Powell,Mavericks,F-C,30.71,79,21.7,197,0.797,348,0.693,37,0.351,0.677,0.719,8.6,4.9,1.2,0.46,0.46,0.73,6.8,144.5,99.7,
Myles Powell,76ers,G,20,11,4.7,2,1,11,0.364,6,0.167,0.324,0.364,1.2,0.5,0.3,0.09,0,0.27,4.8,74.2,99.3,65
Norman Powell,Trail Blazers,G,28.86,40,33.3,198,0.803,313,0.492,229,0.406,0.542,0.593,18.7,3.3,2.1,1,0.43,1.55,6.1,114.9,114.6,81
Norman Powell,Clippers,G,28.86,3,26.8,20,0.85,28,0.5,14,0.429,0.548,0.62,21,3,4,0.67,0.67,1.67,9.4,124.2,106,81
Joshua Primo,Spurs,G,19.28,46,18.7,51,0.765,114,0.447,126,0.302,0.45,0.486,5.5,2.3,1.5,0.43,0.46,1.09,5.7,96.2,109.7,
Taurean Prince,Timberwolves,F,28.04,67,17.1,78,0.769,160,0.569,220,0.377,0.567,0.593,7.3,2.6,1,0.69,0.34,0.78,6.2,112.7,105.9,
Payton Pritchard,Celtics,G,24.18,68,13.9,19,1,120,0.45,228,0.412,0.56,0.574,6,1.9,1.9,0.32,0.07,0.57,8,119.2,105.6,
Trevelin Queen,Rockets,G,20,10,7.4,4,1,9,0.667,24,0.375,0.591,0.619,4.3,1.6,0.4,0.5,0.1,0.7,7.6,109.8,110.1,
Neemias Queta,Kings,C,22.73,11,6.5,7,0.571,24,0.417,0,0,0.417,0.443,2.2,1.8,0.4,0.09,0.36,0.36,7.2,103.4,103.7,
Immanuel Quickley,Knicks,G,22.8,75,22.6,188,0.888,302,0.444,370,0.346,0.485,0.543,10.9,3,3.3,0.68,0.04,1.24,8.4,113.5,104.4,
Jahmi'us Ramsey,Kings,G,20.82,19,7.1,14,0.5,40,0.475,18,0.278,0.457,0.468,3.2,0.7,0.4,0.05,0.05,0.26,5.4,94.9,113.9,
Julius Randle,Knicks,F-C,27.35,72,35.3,401,0.756,856,0.458,390,0.308,0.459,0.509,20.1,10,5.1,0.74,0.54,3.4,11.4,102.8,103.4,
Austin Reaves,Lakers,G,23.85,57,22.5,86,0.837,127,0.638,151,0.305,0.54,0.589,6.5,2.9,1.6,0.42,0.33,0.61,5.5,120.6,112.3,74
Cam Reddish,Hawks,F-G,22.59,34,23.4,80,0.9,190,0.421,153,0.379,0.487,0.537,11.9,2.5,1.1,1.03,0.32,1.29,5.5,103.7,112.5,
Cam Reddish,Knicks,F-G,22.59,15,14.4,32,0.906,34,0.559,31,0.258,0.477,0.575,6.1,1.4,0.7,0.87,0.27,0.87,5,109.2,106.5,
Davon Reed,Nuggets,G,26.81,45,13.6,12,0.833,65,0.569,82,0.427,0.609,0.621,4.2,2.2,1,0.51,0.18,0.27,6.2,125.9,104.4,
Paul Reed,76ers,F,22.81,35,7.4,10,0.4,68,0.5,8,0.25,0.487,0.485,2.2,2.1,0.4,0.69,0.37,0.26,6.6,113.2,91.4,73
Naz Reid,Timberwolves,C-F,22.61,74,15.7,147,0.762,299,0.572,155,0.348,0.555,0.594,8.3,3.9,0.9,0.53,0.93,1.04,7.8,115.1,100.2,
Nick Richards,Hornets,C,24.35,48,7.5,43,0.698,87,0.678,0,0,0.678,0.699,3.1,1.7,0.3,0.19,0.44,0.5,6.2,122.7,102.7,
Josh Richardson,Celtics,G,28.55,44,24.7,71,0.859,187,0.481,156,0.397,0.534,0.57,9.7,2.8,1.5,0.77,0.52,0.89,5.6,113.5,104,
Josh Richardson,Spurs,G,28.55,17,24.2,28,0.964,81,0.42,70,0.414,0.513,0.557,10.7,3,2.4,1.06,0.35,1.29,7,110.7,110.4,
Austin Rivers,Nuggets,G,29.67,64,21.9,40,0.725,111,0.55,221,0.344,0.527,0.542,5.9,1.7,1.4,0.75,0.09,0.8,4.4,103.8,108.5,
Duncan Robinson,Heat,F,27.95,76,26,61,0.836,101,0.564,599,0.367,0.553,0.568,10.9,2.6,1.6,0.51,0.18,0.78,5.5,111.7,103.4,
Jeremiah Robinson-Earl,Thunder,F,21.41,48,22.3,50,0.72,152,0.474,162,0.346,0.497,0.518,7.3,5.7,1,0.6,0.31,0.81,6.2,107,107.2,74
Justin Robinson,Bucks,G,24.48,17,11.6,2,1,20,0.4,37,0.27,0.404,0.415,2.8,0.8,1.2,0.47,0,0.65,4.8,87.4,107.4,68
Justin Robinson,Kings,G,24.48,3,5,0,0,5,0.2,3,0,0.125,0.125,0.7,0.3,0.7,0,0,0.33,4.2,37.7,108.1,68
Justin Robinson,Pistons,G,24.48,5,18.2,6,0.333,7,0.143,21,0.381,0.464,0.457,5.6,1.4,1.8,0.2,0.2,1,5.3,92.3,111.8,68
Mitchell Robinson,Knicks,C-F,24.01,72,25.7,181,0.486,343,0.761,0,0,0.761,0.722,8.5,8.6,0.5,0.79,1.85,0.83,5.2,144.1,101.4,
Isaiah Roby,Thunder,F,24.16,41,20.7,106,0.689,196,0.551,77,0.429,0.577,0.607,9.5,4.9,1.5,0.78,0.68,0.9,8,121.9,102.6,77
Rajon Rondo,Lakers,G,36.11,18,16.1,2,0.5,41,0.366,30,0.267,0.38,0.383,3.1,2.7,3.7,0.67,0.28,1.89,7.8,84.1,107.6,75
Rajon Rondo,Cavs,G,36.11,18,20,24,0.75,46,0.478,52,0.385,0.531,0.562,6.8,2.9,4.5,0.89,0.06,1.61,8.9,111.7,104.2,75
Derrick Rose,Knicks,G,33.5,26,24.5,31,0.968,182,0.467,92,0.402,0.513,0.541,12,3,4,0.85,0.46,1.5,8.6,112.4,113,
Terrence Ross,Magic,G-F,31.16,63,23,130,0.862,290,0.493,264,0.292,0.467,0.515,10,2.6,1.8,0.44,0.19,1.19,6.3,100.1,113.3,
Terry Rozier,Hornets,G,28.05,69,33.9,173,0.85,539,0.506,565,0.377,0.537,0.564,19.3,4.3,4.4,1.33,0.35,1.35,8.4,115.9,113.1,
